id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
1178401.0,Kolkata,2019-04-12,S Dhawan,venue,0,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,runs,7.0,N,,CK Nandan,CK Nandan
1178402.0,Mumbai,2019-04-13,JC Buttler,venue,0,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,runs,4.0,N,,A Nand Kishore,A Nand Kishore
1178403.0,Chandigarh,2019-04-13,AB de Villiers,venue,0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,runs,8.0,N,,S Ravi,S Ravi
1178404.0,Kolkata,2019-04-14,Imran Tahir,venue,0,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,runs,5.0,N,,CK Nandan,CK Nandan
1178405.0,Hyderabad,2019-04-14,KMA Paul,venue,0,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,runs,39.0,N,,AK Chaudhary,AK Chaudhary
1178406.0,Mumbai,2019-04-15,SL Malinga,venue,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,runs,5.0,N,,M Erasmus,Nitin Menon
1178407.0,Chandigarh,2019-04-16,R Ashwin,venue,0,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,runs,12.0,N,,AK Chaudhary,AK Chaudhary
1178408.0,Hyderabad,2019-04-17,DA Warner,venue,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Sunrisers Hyderabad,runs,6.0,N,,IJ Gould,IJ Gould
1178409.0,Delhi,2019-04-18,HH Pandya,venue,0,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,runs,40.0,N,,BNJ Oxenford,NJ Llong
1178410.0,Kolkata,2019-04-19,V Kohli,venue,0,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,runs,10.0,N,,IJ Gould,Nitin Menon
1178411.0,Jaipur,2019-04-20,SPD Smith,venue,0,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,runs,5.0,N,,S Ravi,S Ravi
1178412.0,Delhi,2019-04-20,SS Iyer,venue,0,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,runs,5.0,N,,C Shamshuddin,C Shamshuddin
1178413.0,Bengaluru,2019-04-21,PA Patel,venue,0,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,runs,9.0,N,,RJ Tucker,Nitin Menon
1178414.0,Hyderabad,2019-04-21,KK Ahmed,venue,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,runs,1.0,N,,NJ Llong,VA Kulkarni
1178415.0,Jaipur,2019-04-22,RR Pant,venue,0,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,runs,6.0,N,,A Nand Kishore,S Ravi
1178416.0,Chennai,2019-04-23,SR Watson,venue,0,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,runs,6.0,N,,AK Chaudhary,AK Chaudhary
1178417.0,Bengaluru,2019-04-24,AB de Villiers,venue,0,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,runs,17.0,N,,BNJ Oxenford,BNJ Oxenford
